Fraction Removed,LCC Size,Number of Components
0.0636,2119,59
0.0638,2116,61
0.0640,2115,61
0.0642,2114,61
0.0644,2113,61
0.0646,2112,61
0.0648,2111,61
0.0650,2109,62
0.0652,2107,63
0.0654,2105,64
0.0656,2104,64
0.0658,2103,64
0.0660,2102,64
0.0662,2101,64
0.0664,2099,65
0.0666,2098,65
0.0668,2097,65
0.0670,2096,65
0.0672,2095,65
0.0674,2094,65
0.0676,2093,65
0.0678,2092,65
0.0680,2091,65
0.0682,2090,65
0.0684,2089,65
0.0686,2088,65
0.0688,2087,65
0.0690,2086,65
0.0692,2084,66
0.0694,2083,66
0.0696,2082,66
0.0698,2081,66
0.0700,2080,66
0.0702,2079,66
0.0704,2078,66
0.0706,2077,66
0.0708,2073,68
0.0710,2072,68
0.0712,2071,68
0.0714,2070,68
0.0716,2069,68
0.0718,2068,68
0.0720,2067,68
0.0722,2066,68
0.0724,2065,68
0.0726,2063,69
0.0728,2061,70
0.0730,2060,70
0.0732,2059,70
0.0734,2058,70
0.0736,2057,70
0.0738,2056,70
0.0740,2055,70
0.0742,2054,70
0.0744,2053,70
0.0746,2052,70
0.0748,2051,70
0.0750,2050,70
0.0752,2049,70
0.0754,2048,70
0.0756,2047,70
0.0758,2046,70
0.0760,2045,70
0.0762,2044,70
0.0764,2043,70
0.0766,2042,70
0.0768,2041,70
0.0770,2039,71
0.0772,2038,71
0.0774,2037,71
0.0776,2036,71
0.0778,2035,71
0.0780,2032,73
0.0782,2031,73
0.0784,2030,73
0.0786,2029,73
0.0788,2028,73
0.0790,2027,73
0.0792,2026,73
0.0794,2025,73
0.0796,2023,74
0.0798,2022,74
0.0800,2021,74
0.0802,2020,74
0.0804,2019,74
0.0806,2018,74
0.0808,2017,74
0.0810,2016,74
0.0812,2013,76
0.0814,2011,77
0.0816,2009,78
0.0818,2008,78
0.0820,2007,78
0.0822,2006,78
0.0824,2004,79
0.0826,2003,79
0.0828,2002,79
0.0830,2001,79
0.0832,2000,79
0.0834,1999,79
0.0836,1998,79
0.0838,1997,79
0.0840,1996,79
0.0842,1995,79
0.0844,1994,79
0.0846,1993,79
0.0848,1992,79
0.0850,1991,79
0.0852,1990,79
0.0854,1989,79
0.0856,1986,80
0.0858,1985,80
0.0860,1984,80
0.0862,1983,80
0.0864,1982,80
0.0866,1981,80
0.0868,1980,80
0.0870,1977,82
0.0872,1976,82
0.0874,1975,82
0.0876,1974,82
0.0878,1973,82
0.0880,1972,82
0.0882,1970,83
0.0884,1969,83
0.0886,1968,83
0.0888,1967,83
0.0890,1963,85
0.0892,1962,85
0.0894,1960,86
0.0896,1958,87
0.0898,1956,88
0.0900,1955,88
0.0902,1954,88
0.0904,1953,88
0.0906,1952,88
0.0908,1951,88
0.0910,1950,88
0.0912,1949,88
0.0914,1948,88
0.0916,1947,88
0.0918,1946,88
0.0920,1945,88
0.0922,1944,88
0.0924,1943,88
0.0926,1940,90
0.0928,1939,90
0.0930,1938,90
0.0932,1937,90
0.0934,1936,90
0.0936,1935,90
0.0938,1934,90
0.0940,1933,90
0.0942,1932,90
0.0944,1931,90
0.0946,1930,90
0.0948,1929,90
0.0950,1928,90
0.0952,1927,90
0.0954,1926,90
0.0956,1924,91
0.0958,1923,91
0.0960,1922,91
0.0962,1921,91
0.0964,1920,91
0.0966,1918,92
0.0968,1915,93
0.0970,1913,94
0.0972,1912,94
0.0974,1911,94
0.0976,1910,94
0.0978,1909,94
0.0980,1908,94
0.0982,1907,94
0.0984,1906,94
0.0986,1905,94
0.0988,1904,94
0.0990,1900,95
0.0992,1899,95
0.0994,1897,96
0.0996,1896,96
0.0998,1894,97
0.1000,1892,98
0.1002,1891,98
0.1004,1889,99
0.1006,1888,99
0.1008,1887,99
0.1010,1886,99
0.1012,1885,99
0.1014,1884,99
