Fraction Removed,LCC Size,Number of Components
0.0636,2182,1
0.0638,2181,1
0.0640,2180,1
0.0642,2179,1
0.0644,2178,1
0.0646,2177,1
0.0648,2176,1
0.0650,2175,1
0.0652,2174,1
0.0654,2173,1
0.0656,2172,1
0.0658,2171,1
0.0660,2170,1
0.0662,2169,1
0.0664,2168,1
0.0666,2167,1
0.0668,2166,1
0.0670,2165,1
0.0672,2164,1
0.0674,2163,1
0.0676,2162,1
0.0678,2161,1
0.0680,2160,1
0.0682,2159,1
0.0684,2158,1
0.0686,2157,1
0.0688,2156,1
0.0690,2155,1
0.0692,2154,1
0.0694,2153,1
0.0696,2152,1
0.0698,2151,1
0.0700,2150,1
0.0702,2149,1
0.0704,2148,1
0.0706,2147,1
0.0708,2146,1
0.0710,2145,1
0.0712,2144,1
0.0714,2143,1
0.0716,2142,1
0.0718,2141,1
0.0720,2140,1
0.0722,2139,1
0.0724,2138,1
0.0726,2137,1
0.0728,2136,1
0.0730,2135,1
0.0732,2134,1
0.0734,2133,1
0.0736,2132,1
0.0738,2131,1
0.0740,2130,1
0.0742,2129,1
0.0744,2128,1
0.0746,2127,1
0.0748,2126,1
0.0750,2125,1
0.0752,2124,1
0.0754,2123,1
0.0756,2122,1
0.0758,2121,1
0.0760,2120,1
0.0762,2119,1
0.0764,2118,1
0.0766,2117,1
0.0768,2116,1
0.0770,2115,1
0.0772,2114,1
0.0774,2113,1
0.0776,2112,1
0.0778,2111,1
0.0780,2110,1
0.0782,2109,1
0.0784,2108,1
0.0786,2107,1
0.0788,2106,1
0.0790,2105,1
0.0792,2104,1
0.0794,2103,1
0.0796,2102,1
0.0798,2101,1
0.0800,2100,1
0.0802,2099,1
0.0804,2098,1
0.0806,2097,1
0.0808,2096,1
0.0810,2095,1
0.0812,2094,1
0.0814,2093,1
0.0816,2092,1
0.0818,2091,1
0.0820,2090,1
0.0822,2089,1
0.0824,2088,1
0.0826,2087,1
0.0828,2086,1
0.0830,2085,1
0.0832,2084,1
0.0834,2083,1
0.0836,2082,1
0.0838,2081,1
0.0840,2080,1
0.0842,2079,1
0.0844,2078,1
0.0846,2077,1
0.0848,2076,1
0.0850,2075,1
0.0852,2074,1
0.0854,2073,1
0.0856,2072,1
0.0858,2071,1
0.0860,2070,1
0.0862,2069,1
0.0864,2068,1
0.0866,2067,1
0.0868,2066,1
0.0870,2065,1
0.0872,2064,1
0.0874,2063,1
0.0876,2062,1
0.0878,2061,1
0.0880,2060,1
0.0882,2059,1
0.0884,2058,1
0.0886,2057,1
0.0888,2056,1
0.0890,2055,1
0.0892,2054,1
0.0894,2053,1
0.0896,2052,1
0.0898,2051,1
0.0900,2050,1
0.0902,2049,1
0.0904,2048,1
0.0906,2047,1
0.0908,2046,1
0.0910,2045,1
0.0912,2044,1
0.0914,2043,1
0.0916,2042,1
0.0918,2041,1
0.0920,2040,1
0.0922,2039,1
0.0924,2038,1
0.0926,2037,1
0.0928,2036,1
0.0930,2035,1
0.0932,2034,1
0.0934,2033,1
0.0936,2032,1
0.0938,2031,1
0.0940,2030,1
0.0942,2029,1
0.0944,2028,1
0.0946,2027,1
0.0948,2026,1
0.0950,2025,1
0.0952,2024,1
0.0954,2023,1
0.0956,2022,1
0.0958,2021,1
0.0960,2020,1
0.0962,2019,1
0.0964,2018,1
0.0966,2017,1
0.0968,2016,1
0.0970,2015,1
0.0972,2014,1
0.0974,2013,1
0.0976,2012,1
0.0978,2011,1
0.0980,2010,1
0.0982,2009,1
0.0984,2008,1
0.0986,2007,1
0.0988,2006,1
0.0990,2005,1
0.0992,2004,1
0.0994,2003,1
0.0996,2002,1
0.0998,2001,1
0.1000,2000,1
0.1002,1999,1
0.1004,1998,1
0.1006,1997,1
0.1008,1996,1
0.1010,1995,1
0.1012,1994,1
0.1014,1993,1
0.1016,1992,1
0.1018,1991,1
0.1020,1990,1
0.1022,1989,1
0.1024,1988,1
0.1026,1987,1
0.1028,1986,1
