Fraction Removed,LCC Size,Number of Components
0.0556,2164,14
0.0558,2163,14
0.0560,2162,14
0.0562,2161,14
0.0564,2160,14
0.0566,2156,15
0.0568,2155,15
0.0570,2155,15
0.0572,2154,15
0.0574,2153,15
0.0576,2152,15
0.0578,2151,15
0.0580,2150,15
0.0582,2149,15
0.0584,2148,15
0.0586,2147,15
0.0588,2146,15
0.0590,2145,15
0.0592,2144,15
0.0594,2143,15
0.0596,2142,15
0.0598,2141,15
0.0600,2140,15
0.0602,2139,15
0.0604,2138,15
0.0606,2137,15
0.0608,2137,14
0.0610,2136,14
0.0612,2135,14
0.0614,2134,14
0.0616,2133,14
0.0618,2132,14
0.0620,2122,15
0.0622,2121,15
0.0624,2120,15
0.0626,2119,15
0.0628,2118,15
0.0630,2117,15
0.0632,2116,15
0.0634,2115,15
0.0636,2114,15
0.0638,2113,15
0.0640,2112,15
0.0642,2111,15
0.0644,2110,15
0.0646,2109,15
0.0648,2108,15
0.0650,2107,15
0.0652,2106,15
0.0654,2105,15
0.0656,2105,15
0.0658,2104,15
0.0660,2103,15
0.0662,2103,15
0.0664,2102,15
0.0666,2101,15
0.0668,2100,15
0.0670,2099,15
0.0672,2098,15
0.0674,2097,15
0.0676,2096,15
0.0678,2095,15
0.0680,2094,15
0.0682,2093,15
0.0684,2093,15
0.0686,2092,15
0.0688,2091,15
0.0690,2090,15
0.0692,2089,15
0.0694,2088,15
0.0696,2087,15
0.0698,2086,15
0.0700,2085,15
0.0702,2084,15
0.0704,2083,15
0.0706,2082,15
0.0708,2081,15
0.0710,2080,15
0.0712,2079,15
0.0714,2078,15
0.0716,2077,15
0.0718,2076,15
0.0720,2075,15
0.0722,2074,15
0.0724,2073,15
0.0726,2072,15
0.0728,2071,15
0.0730,2070,15
0.0732,2069,15
0.0734,2068,15
0.0736,2067,15
0.0738,2066,15
0.0740,2065,15
0.0742,2064,15
0.0744,2063,15
0.0746,2062,15
0.0748,2061,15
0.0750,2060,15
0.0752,2059,15
0.0754,2058,15
0.0756,2057,15
0.0758,2056,15
0.0760,2055,15
0.0762,2054,15
0.0764,2053,15
0.0766,2052,15
0.0768,2052,15
0.0770,2051,15
0.0772,2049,16
0.0774,2048,16
0.0776,2047,16
0.0778,2046,16
0.0780,2045,16
0.0782,2044,16
0.0784,2043,16
0.0786,2042,16
0.0788,2041,16
0.0790,2040,16
0.0792,2039,16
0.0794,2038,16
0.0796,2037,16
0.0798,2036,16
0.0800,2035,16
0.0802,2034,16
0.0804,2033,16
0.0806,2032,16
0.0808,2031,16
0.0810,2030,16
0.0812,2029,16
0.0814,2028,16
0.0816,2027,16
0.0818,2026,16
0.0820,2025,16
0.0822,2024,16
0.0824,2023,16
0.0826,2022,16
0.0828,2021,16
0.0830,2020,16
0.0832,2019,16
0.0834,2018,16
0.0836,2017,16
0.0838,2016,16
0.0840,2015,16
0.0842,2014,16
0.0844,2013,16
0.0846,2012,16
0.0848,2011,16
0.0850,2011,17
0.0852,2010,17
0.0854,2009,17
0.0856,2008,17
0.0858,2007,17
0.0860,2006,17
0.0862,2005,17
0.0864,2004,17
0.0866,2003,17
0.0868,2002,17
0.0870,2001,17
0.0872,2000,17
0.0874,1999,17
0.0876,1998,17
0.0878,1997,17
0.0880,1996,17
0.0882,1995,17
0.0884,1994,17
0.0886,1993,17
0.0888,1992,17
0.0890,1991,17
0.0892,1990,17
0.0894,1989,17
0.0896,1988,17
0.0898,1987,17
0.0900,1986,17
0.0902,1985,17
0.0904,1984,17
0.0906,1983,17
0.0908,1982,17
0.0910,1981,17
0.0912,1980,17
0.0914,1979,17
0.0916,1978,17
0.0918,1977,17
0.0920,1976,17
0.0922,1975,17
0.0924,1974,17
0.0926,1973,17
0.0928,1972,17
0.0930,1972,17
0.0932,1971,17
0.0934,1970,17
0.0936,1969,17
0.0938,1968,17
0.0940,1967,17
0.0942,1967,17
0.0944,1966,17
0.0946,1965,17
0.0948,1964,17
0.0950,1963,17
0.0952,1962,17
0.0954,1961,17
0.0956,1960,17
0.0958,1959,17
0.0960,1958,17
0.0962,1957,17
0.0964,1956,17
0.0966,1955,17
0.0968,1954,17
0.0970,1953,17
0.0972,1952,17
0.0974,1951,17
0.0976,1950,17
0.0978,1949,17
0.0980,1948,17
0.0982,1947,17
0.0984,1947,16
0.0986,1946,16
0.0988,1945,16
0.0990,1944,16
0.0992,1943,16
0.0994,1942,16
0.0996,1942,16
0.0998,1941,16
0.1000,1940,16
0.1002,1939,16
0.1004,1938,16
0.1006,1936,17
0.1008,1935,17
0.1010,1934,17
0.1012,1933,17
0.1014,1932,17
0.1016,1930,18
0.1018,1929,18
0.1020,1928,18
0.1022,1927,18
0.1024,1926,18
0.1026,1925,18
0.1028,1924,18
0.1030,1923,18
0.1032,1922,18
0.1034,1921,18
0.1036,1920,18
0.1038,1919,18
0.1040,1918,18
0.1042,1917,18
0.1044,1917,18
0.1046,1916,18
0.1048,1915,18
0.1050,1914,18
0.1052,1913,18
0.1054,1912,18
0.1056,1911,18
0.1058,1910,18
0.1060,1909,18
0.1062,1908,18
0.1064,1908,18
0.1066,1907,18
0.1068,1906,18
0.1070,1905,18
0.1072,1904,18
0.1074,1903,18
0.1076,1902,18
0.1078,1901,18
0.1080,1900,18
0.1082,1898,19
0.1084,1897,19
0.1086,1896,19
0.1088,1895,19
0.1090,1894,19
0.1092,1893,19
0.1094,1892,19
0.1096,1891,19
0.1098,1890,19
0.1100,1889,19
0.1102,1888,19
0.1104,1887,19
0.1106,1886,19
0.1108,1885,19
0.1110,1884,19
0.1112,1883,19
0.1114,1882,19
0.1116,1881,19
0.1118,1880,19
0.1120,1879,19
0.1122,1878,19
0.1124,1877,19
0.1126,1876,19
0.1128,1875,19
0.1130,1874,19
0.1132,1873,19
0.1134,1872,19
0.1136,1871,19
0.1138,1870,19
0.1140,1870,19
0.1142,1870,19
0.1144,1869,19
0.1146,1868,19
0.1148,1867,19
0.1150,1866,19
0.1152,1865,19
0.1154,1864,19
0.1156,1863,19
0.1158,1862,19
0.1160,1861,19
0.1162,1860,19
0.1164,1859,19
0.1166,1858,19
0.1168,1857,19
0.1170,1857,19
0.1172,1856,19
0.1174,1855,19
0.1176,1854,19
0.1178,1853,19
0.1180,1852,19
0.1182,1851,19
0.1184,1850,19
0.1186,1844,20
0.1188,1843,20
0.1190,1842,20
0.1192,1841,20
0.1194,1840,20
0.1196,1839,20
0.1198,1838,20
0.1200,1838,20
0.1202,1837,20
0.1204,1836,20
0.1206,1835,20
0.1208,1834,20
0.1210,1833,20
0.1212,1832,20
0.1214,1831,20
0.1216,1830,20
0.1218,1830,20
0.1220,1829,20
0.1222,1828,20
0.1224,1827,20
0.1226,1826,20
0.1228,1825,20
0.1230,1824,20
0.1232,1823,20
0.1234,1822,20
0.1236,1821,20
0.1238,1820,20
0.1240,1819,20
0.1242,1818,20
0.1244,1817,20
0.1246,1816,20
